altura,fnac,fortuna,nacionalidad,nombre,peso
,"October 15, 1944",[2900000000.0],Israeli-American,,
[1.69],"January 29, 1954",[2700000000.0],American,Orpah Gail Winfrey,[75.5]
,"June 4, 1937",[2500000000.0],Canadian-American,Mortimer Benjamin Zuckerman,
,"November 19, 1938",[2200000000.0],United States,Robert Edward Turner III,
,"April 24, 1955",[2200000000.0],Dutch,Johannes Hendrikus Hubert de Mol Jr.,
,"November 2, 1922",[2300000000.0],Australian,Lloyd Stanley Perron AC,
,,[1900000000.0],United States,"David Hearst, Jr.",
,,[1900000000.0],American,Austin Hearst,
[1.8],"April 29, 1954 ",[920000000.0],American,"Jerome ""Jerry"" Seinfeld",[77.0]
[1.8],"July 2, 1947 ",[800000000.0],American,"Lawrence Gene ""Larry"" David ",
,"February 15, 1954",[500000000.0],American,Matthew Abram Groening,
[1.85],"July 12, 1937",[400000000.0],American,William Henry Cosby Jr.,[84.0]
[1.8],28 April 1950,[400000000.0],American,James Douglas Muir Leno,[90.0]
[1.85],"October 19, 1969",[350000000.0],United States,Randolph Severn Parker III,
[1.88],"May 26, 1971",[300000000.0],American,Matthew Richard Stone,
[1.57],"July 6, 1979",[200000000.0],American,Kevin Darnell Hart,
[1.78],"October 26, 1973",[194000000.0],American,Seth Woodbury MacFarlane,
,"May 23, 1958",[165000000.0],American,Drew Allison Carey,
[1.87],"January 17, 1962",[150000000.0],Canadian-American,James Eugene Carrey,[84.0]
[1.57],"June 8, 1933",[150000000.0],American,Joan Alexandra Molinsky,
[1.81],"January 6, 1955",[150000000.0],British,Rowan Sebastian Atkinson,[82.0]
[1.85],"July 1, 1952",[135000000.0],Canadian,"Daniel Edward ""Dan"" Aykroyd, CM",
[1.91],"October 13, 1971",[130000000.0],British,Sacha Noam Baron Cohen,
,"September 21, 1950",[120000000.0],American,"William James ""Bill"" Murray",
,"December 21, 1957 ",[120000000.0],United States,Raymond Albert Romano,
[1.93],"May 17, 1956",[100000000.0],American,"Robert Lane ""Bob"" Saget",[87.0]
,"September 6, 1958",[100000000.0],American,Jeffrey Marshall Foxworthy,
,"January 17, 1957",[100000000.0],American,"Broderick Steven ""Steve"" Harvey",
[1.78],7 February 1965 ,[100000000.0],American,Christopher Julius Rock III,[63.5]
,"June 28, 1926",[85000000.0],American,Melvin James Kaminsky,
[1.63],"November 3, 1952",[80000000.0],American,Roseanne Cherrie Barr,
[1.73],"April 26, 1965",[80000000.0],United States,Kevin George Knipfing,
[1.71],"June 25, 1961",[80000000.0],United Kingdom,Ricky Dene Gervais,
altura,fnac,fortuna,nacionalidad,nombre,peso
,,[2600000000.0],South Korea,Shin Chang-Jae,
,1946,[2600000000.0],China,Shen Wenrong,
,"February 9, 1940",[2600000000.0],German,Hubert Burda,
,,[2500000000.0],United States,Nicholas Woodman,
,,[2500000000.0],American,David M. Rubenstein,
,"November 27, 1950",[2400000000.0],American,Robert Parsons,
,"March 18, 1961 ",[2400000000.0],France,Arnaud Lagardère,
,,[2300000000.0],Russian,Alexander Dzhaparidze,
[1.79],"June 8, 1977",[1800000000.0],American,Kanye Omari West,[72.0]
